med_code,med_school_name,med_city,med_state_name,med_est,med_degree,med_address,med_mcat_score,med_lon,med_lat,med_state,med_county,med_tract,med_geoid,med_n_primary,med_n_specialty
00102,University of Alabama School of Medicine,"Birmingham (main); Tuscaloosa, Huntsville & Montgomery (only clinical years)",Alabama,1859,MD,"UNIV OF AL SCH OF MED, BIRMINGHAM AL  35294",508,-86.8039601,33.503198,01,073,004500,01073004500,2132,4605
00106,University of South Alabama College of Medicine,Mobile,Alabama,1972,MD,"UNIV OF SOUTH AL COLL OF MED, MOBILE AL 36688",NA,-88.1770263,30.6990659,01,097,003605,01097003605,885,1544
00175,Alabama College of Osteopathic Medicine,Dothan,Alabama,2013,DO,"Alabama College of Osteopathic Medicine, Dothan, AL 36301",501,-85.3410797,31.206076500000002,01,069,041600,01069041600,7,12
00176,Edward Via College of Osteopathic Medicine,Auburn,Alabama,2015,DO,Edward Via College of Osteopathic Medicine,NA,-85.490209,32.588926,01,081,040700,01081040700,NA,NA
00301,University of Arizona College of Medicine - Tucson,Tucson,Arizona,1967,MD,"UNIV OF AZ COLL OF MED, TUCSON AZ 85724",506,-110.9461316,32.2400471,04,019,001500,04019001500,1336,2644
00375,Midwestern University Arizona College of Osteopathic Medicine,Glendale,Arizona,1995,DO,"MIDWESTERN UNIV, AZ COLL OF OSTEO MED, GLENDALE, A",505,-112.1824694,33.663675,04,013,616000,04013616000,420,783
00376,A.T. Still University School of Osteopathic Medicine in Arizona,Mesa,Arizona,2006,DO,"A T STILL UNIV OF HLTH SCI-COLL OF OSTEO MED, MESA",504,-111.705045,33.38271,04,013,422638,04013422638,90,214
00302,University of Arizona College of Medicine - Phoenix,Phoenix,Arizona,2012,MD,"University of Arizona College of Medicine-Phoenix, Phoenix, AZ 85004",505,-112.0668451,33.45161,04,013,113100,04013113100,68,172
00401,University of Arkansas for Medical Sciences/UAMS College of Medicine,Little Rock & Fayetteville (3rd and 4th-year students),Arkansas,1879,MD,"UNIV OF AR COLL OF MED, LITTLE ROCK AR 72205",506,-92.3206901,34.74863,05,119,004800,05119004800,2201,3522
00502,UCSF School of Medicine,San Francisco,California,1864,MD,"UNIV OF CA, SAN FRANCISCO, SCH OF MED, SAN FRANCIS",516,-122.4610147,37.7616376,06,075,030102,06075030102,2198,4486
00506,Keck School of Medicine of University of Southern California,Los Angeles,California,1885,MD,"KECK SCH OF MED OF THE USC, LOS ANGELES CA 90089",515,-118.205713,34.061124,06,037,203300,06037203300,2009,4733
00515,"University of California, Irvine School of Medicine",Irvine,California,1896,MD,"UNIV OF CA, IRVINE, CA COLL OF MED, IRVINE CA 9269",512,-117.8507377,33.6446052,06,059,062614,06059062614,1225,2645
00516,"University of California, Irvine School of Medicine",Irvine,California,1896,MD,"UNIV OF CA, IRVINE, CA COLL OF MED, IRVINE CA 9271",512,-117.8507377,33.6446052,06,059,062614,06059062614,12,6
00517,"University of California, Irvine School of Medicine",Irvine,California,1896,MD,"UNIV OF CA, IRVINE, CA COLL OF MED, IRVINE CA 9271",512,-117.8507377,33.6446052,06,059,062614,06059062614,6,6
00511,Stanford University School of Medicine,Palo Alto,California,1908,MD,"STANFORD UNIV SCH OF MED, STANFORD CA 94305",518,-122.175758,37.4318102,06,085,511609,06085511609,899,2853
00512,Loma Linda University School of Medicine,Loma Linda,California,1909,MD,"LOMA LINDA UNIV SCH OF MED, LOMA LINDA CA 92350",508,-117.2641124,34.0504186,06,071,007303,06071007303,2318,4169
00514,David Geffen School of Medicine at UCLA,Los Angeles,California,1951,MD,"D GEFFEN SCH OF MED-UCLA, LOS ANGELES CA 90095",508,-118.443361,34.065894,06,037,265301,06037265301,2169,5087
00519,"University of California, Davis School of Medicine",Sacramento,California,1966,MD,"UNIV OF CA DAVIS, SCH OF MED, DAVIS CA 95616",509,-121.7548893,38.5401862,06,113,010501,06113010501,1481,2294
00518,"University of California, San Diego School of Medicine",San Diego,California,1968,MD,"UNIV OF CA, SAN DIEGO, SCH OF MED, LA JOLLA CA 920",517,-117.2358106,32.8752008,06,073,008305,06073008305,1505,3152
00576,Western University of Health Sciences College of Osteopathic Medicine of the Pacific,Pomona,California,1977,DO,"WESTERN U HLT SCI, COL OSTEO MED OF THE PACIFIC, P",506,-117.7474604,34.0581813,06,037,408800,06037408800,2016,2161
00577,Touro University California College of Osteopathic Medicine,Vallejo,California,1997,DO,"TOURO UNIV COLL OF OSTEO MED, VALLEJO CA 94592",507,-122.263922,38.085464,06,095,250801,06095250801,549,875
00520,"University of California, Riverside School of Medicine",Riverside,California,2008,MD,"University of California-Riverside School of Medicine, Riverside, CA 92521",508,-117.3239889,33.9737968,06,065,046500,06065046500,19,21
00521,California Northstate University College of Medicine,Elk Grove,California,2015,MD,California Northstate University College of Medicine,513,-121.481122,38.405704,06,067,009635,06067009635,NA,NA
00702,University of Colorado School of Medicine,Aurora,Colorado,1883,MD,"UNIV OF CO SCH OF MED, DENVER CO 80262",512,-105.0023325,39.7463895,08,031,001902,08031001902,1921,3676
00771,Rocky Vista University College of Osteopathic Medicine,Parker,Colorado,2006,DO,ROCKY VISTA UNIV COLL OF OSTEO MED,504,-104.815115,39.563387,08,035,014001,08035014001,184,491
00801,Yale School of Medicine,New Haven,Connecticut,1810,MD,"YALE UNIV SCH OF MED, NEW HAVEN CT 06510",518,-72.9357954,41.3045436,09,009,140300,09009140300,915,3589
00802,University of Connecticut School of Medicine,Farmington,Connecticut,1961,MD,"UNIV OF CT SCH OF MED, FARMINGTON CT 06032",511,-72.7912369,41.7298363,09,003,460100,09003460100,1026,2197
00803,Frank H. Netter M.D. School of Medicine at Quinnipiac University,North Haven,Connecticut,2010,MD,"Frank H Netter MD School of Medicine at Quinnipiac University, North Haven, CT 06473",512,-72.8387717,41.4134398,09,009,167202,09009167202,27,31
01001,George Washington University Medical School,"Washington, D.C.",District of Columbia,1824,MD,"G WASHINGTON UNIV SCH MED & HLTH SCI, WASHINGTON D",511,-77.050806,38.900128,11,001,005600,11001005600,1892,4690
01002,Georgetown University School of Medicine,"Washington, D.C.",District of Columbia,1851,MD,"GEORGETOWN UNIV SCH OF MED, WASHINGTON DC 20007",512,-77.0770304,38.9118852,11,001,000201,11001000201,1966,6270
