med_state_name,med_school_name,med_city,med_est,med_degree,med_code
Alabama,University of Alabama School of Medicine,"Birmingham (main); Tuscaloosa, Huntsville & Montgomery (only clinical years)",1859,MD,102
Alabama,University of South Alabama College of Medicine,Mobile,1972,MD,106
Alabama,Alabama College of Osteopathic Medicine,Dothan,2013,DO,175
Alabama,Edward Via College of Osteopathic Medicine,Auburn,2015,DO,176
Arizona,University of Arizona College of Medicine - Tucson,Tucson,1967,MD,301
Arizona,Midwestern University Arizona College of Osteopathic Medicine,Glendale,1995,DO,375
Arizona,A.T. Still University School of Osteopathic Medicine in Arizona,Mesa,2006,DO,376
Arizona,University of Arizona College of Medicine - Phoenix,Phoenix,2012,MD,302
Arizona,Mayo Medical School,Scottsdale,2017,MD,
Arkansas,University of Arkansas for Medical Sciences/UAMS College of Medicine,Little Rock & Fayetteville (3rd and 4th-year students),1879,MD,401
Arkansas,Arkansas College of Osteopathic Medicine,Fort Smith,2014,DO,
Arkansas,New York Institute of Technology College of Osteopathic Medicine at Arkansas State University,Jonesboro,2016,DO,
California,UCSF School of Medicine,San Francisco,1864,MD,502
California,Keck School of Medicine of University of Southern California,Los Angeles,1885,MD,506
California,"University of California, Irvine School of Medicine",Irvine,1896,MD,515
California,"University of California, Irvine School of Medicine",Irvine,1896,MD,516
California,"University of California, Irvine School of Medicine",Irvine,1896,MD,517
California,Stanford University School of Medicine,Palo Alto,1908,MD,511
California,Loma Linda University School of Medicine,Loma Linda,1909,MD,512
California,David Geffen School of Medicine at UCLA,Los Angeles,1951,MD,514
California,Charles R. Drew University of Medicine and Science,Willowbrook,1966,MD,
California,"University of California, Davis School of Medicine",Sacramento,1966,MD,519
California,"University of California, San Diego School of Medicine",San Diego,1968,MD,518
California,Western University of Health Sciences College of Osteopathic Medicine of the Pacific,Pomona,1977,DO,576
California,Touro University California College of Osteopathic Medicine,Vallejo,1997,DO,577
California,"University of California, Riverside School of Medicine",Riverside,2008,MD,520
California,California Northstate University College of Medicine,Elk Grove,2015,MD,521
California,California University of Science and Medicine,San Bernardino,2015,MD,
Colorado,University of Colorado School of Medicine,Aurora,1883,MD,702
Colorado,Rocky Vista University College of Osteopathic Medicine,Parker,2006,DO,771
Connecticut,Yale School of Medicine,New Haven,1810,MD,801
Connecticut,University of Connecticut School of Medicine,Farmington,1961,MD,802
Connecticut,Frank H. Netter M.D. School of Medicine at Quinnipiac University,North Haven,2010,MD,803
District of Columbia,George Washington University Medical School,"Washington, D.C.",1824,MD,1001
District of Columbia,Georgetown University School of Medicine,"Washington, D.C.",1851,MD,1002
District of Columbia,Howard University College of Medicine,"Washington, D.C.",1867,MD,1003
Florida,University of Miami Leonard M. Miller School of Medicine,Miami,1952,MD,1102
Florida,University of Florida College of Medicine,Gainesville & Jacksonville,1956,MD,1103
Florida,University of South Florida College of Medicine,Tampa,1971,MD,1104
